,inicio_termo,tamanho_termo,termo
2611,re,10,requisitos
2612,ca,8,carreira
2613,am,10,amostragem
2614,sa,10,samaritano
2615,se,7,seleção
2616,la,5,laços
2617,ca,8,captadas
2618,tr,11,trabalhadas
2619,ex,11,expatriação
2620,me,7,melhora
2621,an,9,analítica
2622,in,12,intensificar
2623,te,4,tese
2624,ca,11,capacitando
2625,ap,10,aprendidas
2626,di,12,direcionadas
2627,im,8,importam
2628,nº,2,nº
2629,it,4,item
2630,ob,8,obtenção
2631,aj,7,ajustes
2632,qu,6,quitar
2633,sa,5,sales
2634,10,2,10
2635,fu,11,futuramente
2636,mc,10,mcclelland
2637,mo,13,monitoramento
2638,in,12,interpessoal
2639,ma,4,make
2640,re,9,respostas
2641,ne,3,net
2642,ac,6,acesso
2643,pr,6,provar
2644,ed,9,editorial
2645,es,10,escritório
2646,in,12,investimento
2647,ch,5,churn
2648,po,7,posição
2649,as,8,assembly
2650,mú,8,múltipla
2651,ac,6,acesse
2652,mo,9,monopólio
2653,tr,10,trimestral
2654,de,11,decorrentes
2655,re,13,ressuprimento
2656,me,8,medi-los
2657,au,8,aumentou
2658,ag,7,agência
2659,ca,4,cada
2660,ma,8,matérias
2661,br,11,brainstorms
2662,im,10,implicação
2663,as,4,asic
2664,da,10,dashboards
2665,de,13,demonstrações
2666,me,14,mercadológicas
2667,co,9,converter
2668,pr,12,prioritários
2669,li,6,limite
2670,im,10,implemente
2671,co,9,compostos
2672,in,5,index
2673,an,8,anúncios
2674,ma,6,market
2675,ca,6,cargas
2676,me,6,medida
2677,vi,10,vinculando
2678,tr,10,tributário
2679,fo,18,fornecedores-chave
2680,po,5,ponto
2681,kp,4,kpis
2682,eq,12,equivalentes
2683,ma,5,massa
2684,di,10,dificultam
2685,re,14,reestruturação
2686,au,11,automatizar
2687,or,8,orientar
2688,ro,7,rolling
2689,si,9,significa
2690,pr,7,promove
2691,in,9,incentiva
2692,fo,5,focar
2693,ad,7,adotado
2694,fo,5,focus
2695,es,11,estratégico
2696,mu,6,muitos
2697,id,11,identifique
2698,di,9,discovery
2699,pr,9,previsões
2700,da,3,day
2701,pi,7,pivotar
2702,ba,8,baseline
2703,an,11,antecipando
2704,in,10,industrial
2705,ru,3,run
2706,ic,4,icms
2707,ou,8,outbound
2708,fo,11,forecasting
2709,pr,10,prospectar
2710,de,10,descontado
2711,de,8,deadline
2712,in,7,interna
2713,pr,7,prática
2714,ev,4,even
2715,ob,7,obtenha
2716,em,16,emicroambientais
2717,li,6,linear
2718,ni,7,ninebox
2719,me,4,mesa
2720,fo,6,forças
2721,ca,10,calculados
2722,sc,4,scor
2723,co,9,coordenam
2724,di,11,dissertação
2725,me,9,mentoring
2726,vi,10,visualizar
2727,vi,5,vilão
2728,or,14,organizacional
2729,ve,8,vertical
2730,es,11,estimativas
2731,im,11,implementar
2732,pt,3,ptm
2733,ap,12,apresentador
2734,ex,9,exercício
2735,re,10,relevantes
2736,pi,3,pis
2737,vi,10,visionário
2738,di,5,dicas
2739,25,4,2554
2740,op,8,opcional
2741,co,11,contratação
2742,de,8,desafios
2743,ab,8,absorção
2744,re,7,revisão
2745,co,16,compartilhamento
2746,vi,13,visualizações
2747,le,9,leadpages
2748,su,9,suspensão
2749,gr,5,group
2750,au,13,autoavaliação
2751,sl,12,slide-mestre
2752,se,9,segurança
2753,má,6,máximo
2754,ob,10,observável
2755,ti,5,tipos
2756,qu,9,qualified
2757,gr,7,grandes
2758,di,10,disciplina
2759,ca,9,calculado
2760,co,9,cobertura
2761,co,8,conjunto
2762,ví,6,vídeos
2763,si,9,simulando
2764,se,10,sequencial
2765,ín,6,índice
2766,ac,6,acerca
2767,es,9,estaduais
2768,as,10,assertivos
2769,tá,7,táticas
2770,di,12,digitalmente
2771,ac,6,action
2772,cu,11,customizado
2773,qu,6,querys
2774,ge,11,gerenciando
2775,ju,8,julgados
2776,es,12,estratégicos
2777,va,7,variará
2778,sa,3,sac
2779,is,7,isenção
2780,sm,5,smart
2781,di,4,disc
2782,ta,7,tarifas
2783,ce,7,cenário
2784,in,9,indivíduo
2785,se,9,segmentar
2786,co,15,conscientização
2787,in,9,incluindo
2788,mm,3,mmb
2789,re,11,requisições
2790,tá,7,táticos
2791,sp,3,spm
2792,me,10,mensurável
2793,le,10,legislação
2794,pu,10,publicados
2795,pa,6,papéis
2796,ce,7,certeza
2797,ab,2,ab
2798,al,11,alimentação
2799,su,9,sucedidas
2800,di,8,dinheiro
2801,in,9,inovadora
2802,in,8,inerente
2803,in,8,integrar
2804,va,8,vaquinha
2805,ca,8,caminhos
2806,ne,10,necessário
2807,at,5,ativo
2808,me,8,medicina
2809,au,16,autoconhecimento
2810,ve,8,vetorial
2811,de,6,defina
2812,im,8,imediata
2813,de,10,detectivos
2814,ar,10,artificial
2815,de,9,definição
2816,fo,10,formulando
2817,im,14,imprescindível
2818,di,11,diversidade
2819,pr,9,problemas
2820,lu,13,lucratividade
2821,vi,9,viabiliza
2822,su,8,superior
2823,po,14,posicionamento
2824,pi,4,pior
2825,fó,6,fóruns
2826,in,12,incorporando
2827,ma,9,mapea-los
2828,cu,9,cumpridas
2829,fa,11,facilitando
2830,cr,5,cross
2831,pr,9,produtivo
2832,in,9,interesse
2833,bi,2,bi
2834,co,9,conflitos
2835,co,10,concessões
2836,ca,8,captação
2837,in,12,inexplorados
2838,vo,4,vote
2839,li,8,linkedin
2840,ce,7,central
2841,ac,14,accountability
2842,cr,8,créditos
2843,fr,6,fracos
2844,pr,8,preparar
2845,ri,6,riscos
2846,cr,9,critérios
2847,im,15,imprescindíveis
2848,tr,6,trazer
2849,aj,9,ajustá-la
2850,ab,10,abordagens
2851,se,3,seo
2852,ma,5,marca
2853,de,6,dessas
2854,cr,8,críticos
2855,mi,8,migração
2856,kr,7,kraljic
2857,mu,7,mudança
2858,ap,9,aplicados
2859,fi,7,figuras
2860,co,9,complexas
2861,ca,6,causas
2862,pr,11,preocupados
2863,ex,10,exatamente
2864,co,12,complementam
2865,fe,9,feedbacks
2866,ch,7,checkup
2867,ma,6,margem
2868,po,6,porquê
2869,an,9,andamento
2870,da,9,dashboard
2871,re,9,renovação
2872,pr,9,prevenção
2873,in,14,intermediários
2874,co,12,conceituando
2875,bl,10,blockchain
2876,pr,8,próprios
2877,ag,6,agente
2878,al,4,além
2879,te,9,templates
2880,aa,5,aarrr
2881,fa,9,facilitem
2882,di,10,diferentes
2883,pa,9,parceiros
2884,ap,15,apropriadamente
2885,ad,8,advindos
2886,ne,10,negociador
2887,pr,9,preditiva
2888,re,13,retrospectiva
2889,pe,6,pedido
2890,be,4,best
2891,re,5,reais
2892,te,8,testá-lo
2893,má,7,máximos
2894,co,9,coletores
2895,co,9,conceitos
2896,te,6,textos
2897,fi,5,final
2898,su,5,super
2899,dr,8,drawback
2900,an,8,análises
2901,pr,10,pré-evento
2902,fr,9,fraquezas
2903,cl,5,cloud
2904,fa,4,fase
2905,ge,5,gerar
2906,tr,10,tributação
2907,so,12,sobrevivendo
2908,li,5,lidar
2909,fe,11,ferramentas
2910,pe,6,perfis
2911,fl,8,flexível
2912,pi,8,pipeline
2913,re,8,relações
2914,pr,8,proceder
2915,fo,6,formas
2916,cl,13,clusterização
2917,mo,6,modelo
2918,pe,4,peso
2919,mu,6,muitas
2920,er,5,erros
2921,co,10,corretivas
2922,tr,4,trás
2923,ex,7,explica
2924,ap,9,aplicá-la
2925,ev,7,eventos
2926,fi,10,financeira
2927,st,12,storytelling
2928,el,7,elimina
2929,ob,10,obstáculos
2930,pe,5,perda
2931,to,8,torná-la
2932,fo,10,fornecedor
2933,so,10,sociograma
2934,in,16,industrialização
2935,sc,5,score
2936,ma,13,macroeconomia
2937,ob,12,objetividade
2938,le,5,level
2939,ca,5,carlo
2940,sc,3,sci
2941,de,8,demandas
2942,of,7,oferece
2943,re,12,revolucionar
2944,fá,5,fácil
2945,du,4,duas
2946,co,8,conteúdo
2947,lo,5,longo
2948,sp,4,sped
2949,10,3,100
2950,ac,9,acompanhe
2951,am,14,amadurecimento
2952,in,12,inteligentes
2953,fo,6,focada
2954,si,11,simbióticos
2955,su,6,sustos
2956,id,12,identifiquei
2957,an,9,analitycs
2958,so,7,sozinho
2959,co,6,compor
2960,di,14,direcionamento
2961,fi,8,fiadores
2962,ch,5,chefe
2963,vo,7,votação
2964,no,11,norteadores
2965,co,12,corretamente
2966,ac,10,acreditado
2967,co,7,correto
2968,mu,16,muldisciplinares
2969,cl,14,classificações
2970,co,10,corporação
2971,ba,7,baseado
2972,lu,3,luz
2973,di,5,difal
2974,or,5,order
2975,vr,4,vrio
2976,1-,5,1-2-3
2977,su,9,surpresas
2978,mo,10,monografia
2979,pr,10,principais
2980,de,10,desenvolva
2981,or,11,organograma
2982,31,4,3100
2983,ad,6,adoção
2984,4.,3,4.0
2985,pr,10,provedores
2986,cr,6,credit
2987,on,7,on-line
2988,re,8,regional
2989,lí,7,líderes
2990,op,8,operação
2991,tr,10,transforme
2992,co,7,consumo
2993,de,12,desconhecido
2994,ne,11,negociáveis
2995,su,11,suprimentos
2996,ap,14,aplicabilidade
2997,pr,8,priorize
2998,in,7,inserir
2999,es,11,estratégias
3000,de,12,deliberativo
3001,ga,13,gabor-granger
3002,di,14,diversificação
3003,re,11,regulamento
3004,op,5,opção
3005,co,9,conteúdos
3006,pe,10,pesquisado
3007,pr,12,prototipagem
3008,ac,12,acompanharia
3009,re,16,resultados-chave
3010,pi,6,piloto
3011,hi,10,hierarquia
3012,ob,4,obra
3013,in,11,iniciativas
3014,re,5,regra
3015,es,13,estabelecendo
3016,tr,9,tribunais
3017,ju,5,juros
3018,re,11,remuneração
3019,pa,8,parceria
3020,sl,5,slide
3021,ci,5,cinco
3022,on,4,onde
3023,gr,7,gráfica
3024,ge,8,genético
3025,av,10,avaliações
3026,in,8,interage
3027,cs,4,csll
3028,po,5,ponte
3029,sa,8,salarial
3030,am,9,ambiental
3031,es,11,estabelecer
3032,su,12,sustentáveis
3033,ca,8,catálogo
3034,ho,5,horas
3035,st,7,stories
3036,ce,8,cenários
3037,te,5,temas
3038,as,11,assimilação
3039,bo,11,bonificação
3040,in,10,interfaces
3041,en,11,enfrentados
3042,st,5,stock
3043,tr,4,três
3044,dr,3,dre
3045,rá,6,rápida
3046,op,8,opiniões
3047,te,8,template
3048,ra,11,rapidamente
3049,br,5,brand
3050,co,7,compete
3051,pe,8,perfeito
3052,ex,8,externos
3053,ju,8,jurídico
3054,pa,8,partidas
3055,em,16,empreendedorismo
3056,in,6,inovar
3057,ma,6,manter
3058,in,6,inicie
3059,fi,6,fiscal
3060,sp,7,sprints
3061,pa,9,pagamento
3062,ac,8,achismos
3063,fi,8,finalize
3064,cu,5,custo
3065,fo,8,fomentar
3066,co,9,cobranças
3067,ba,6,barras
3068,de,8,definida
3069,gr,4,grau
3070,le,10,levantadas
3071,pr,10,prospecção
3072,me,7,meeting
3073,re,9,relutante
3074,el,12,elasticidade
3075,in,8,inchadas
3076,an,8,anunciar
3077,in,9,invisível
3078,fo,12,fortalecendo
3079,mo,13,motivacionais
3080,st,7,startup
3081,ag,9,agreement
3082,re,6,review
3083,li,7,lidando
3084,in,11,interpretar
3085,mê,3,mês
3086,de,5,dessa
3087,ma,10,management
3088,ef,11,efetividade
3089,re,10,recíprocos
3090,fo,10,fomentados
3091,ge,5,gemba
3092,in,12,intelligence
3093,he,9,headcount
3094,pr,13,procedimentos
3095,ob,10,obrigações
3096,di,11,dificuldade
3097,pe,9,percepção
3098,re,13,representação
3099,ge,10,gerenciado
3100,in,18,interdisciplinares
3101,pa,9,paradigma
3102,cp,3,cpc
3103,co,8,contagem
3104,di,5,disso
3105,de,12,departamento
3106,mo,8,motrizes
3107,at,7,atenção
3108,in,13,independência
3109,pe,10,periódicos
3110,in,11,individuais
3111,tr,7,tributo
3112,re,7,regimes
3113,ca,9,cadastral
3114,de,8,decisões
3115,al,10,alcançadas
3116,st,6,status
3117,va,5,value
3118,cr,13,credibilidade
3119,re,9,reajustes
3120,fl,14,flexibilização
3121,co,8,contexto
3122,fa,6,farmer
3123,se,11,semelhanças
3124,ta,7,tableau
3125,nu,5,nunca
3126,re,11,responsável
3127,ma,6,mapeie
3128,an,10,analíticas
3129,ra,6,razões
3130,at,5,atuam
3131,di,7,direção
3132,bo,12,bootstraping
3133,en,10,enriquecer
3134,li,5,light
3135,is,8,ishikawa
3136,di,8,dinâmica
3137,le,5,leque
3138,th,3,the
3139,po,13,possibilidade
3140,nã,16,não-estruturados
3141,di,9,distintos
3142,es,10,específico
3143,tr,11,tributários
3144,fu,11,funcionário
3145,al,9,algoritmo
3146,in,10,interativa
3147,cu,11,cumprimento
3148,di,12,diágnósticas
3149,ún,5,único
3150,qu,11,qualificada
3151,ii,3,iii
3152,ap,9,aplicando
3153,bu,5,buyer
3154,co,9,conversão
3155,tr,5,trend
3156,fi,6,finais
3157,be,6,bebida
3158,pe,10,periódicas
3159,zo,4,zone
3160,ce,13,certificar-se
3161,lu,5,lucro
3162,so,12,solucionados
3163,se,14,sensibilização
3164,fe,6,feitas
3165,co,13,convencionais
3166,pi,5,pitch
3167,in,8,iniciais
3168,se,3,ser
3169,st,11,stakeholder
3170,pe,9,periódica
3171,fu,9,funcionam
3172,ág,5,ágeis
3173,co,12,concorrentes
3174,re,13,recomendações
3175,si,5,sinal
3176,vi,5,vista
3177,ta,7,tamanha
3178,at,6,ativar
3179,re,10,registrada
3180,su,12,sub-famílias
3181,in,9,interação
3182,fo,5,folha
3183,ti,2,ti
3184,ic,3,ice
3185,mo,3,moz
3186,pe,9,persistir
3187,pl,8,planning
3188,ca,5,canal
3189,in,13,instrucionais
3190,ot,10,otimização
3191,ma,10,matemática
3192,ac,12,aceleradoras
3193,tá,6,tática
3194,cr,8,criativo
3195,as,10,assessment
3196,sa,10,satisfação
3197,co,9,confiável
3198,co,10,consultiva
3199,ge,5,geram
3200,mo,6,modais
3201,fr,4,free
3202,re,14,reconhecimento
3203,im,10,impossível
3204,ex,8,exemplos
3205,al,4,alvo
3206,pr,8,precisão
3207,ge,6,gerais
3208,ho,6,honrar
3209,de,8,deduções
3210,re,14,responsividade
3211,en,10,engenharia
3212,ra,7,rapport
3213,pe,11,permanência
3214,go,10,governança
3215,wo,8,workflow
3216,ga,5,gasta
3217,tr,12,treinamentos
3218,re,4,rede
3219,di,9,diferença
3220,au,13,automatizadas
3221,al,5,altos
3222,ec,9,ecommerce
3223,ac,7,acessos
3224,de,12,determinação
3225,pr,11,professores
3226,ba,8,backhaul
3227,di,9,distorcem
3228,ni,7,nibling
3229,ma,7,margens
3230,ob,8,objetivo
3231,es,10,estabeleça
3232,po,8,política
3233,im,13,implementadas
3234,et,3,etc
3235,de,7,demanda
3236,pl,8,planilha
3237,me,8,melhorar
3238,so,14,socioculturais
3239,co,10,condizente
3240,ut,10,utilizados
3241,co,4,cold
3242,si,8,sistemas
3243,pe,5,perto
3244,ma,8,maropost
3245,co,11,competitivo
3246,en,6,engine
3247,co,9,companhia
3248,ma,10,manutenção
3249,ve,10,vendedores
3250,ex,7,exceção
3251,pr,6,pronto
3252,fo,4,foco
3253,in,11,inesperados
3254,si,8,sintomas
3255,tr,11,transformar
3256,pa,5,pagos
3257,co,10,contribuir
3258,sw,4,swot
3259,re,8,reversos
3260,pe,6,pestal
3261,es,7,escalas
3262,co,8,competir
3263,su,12,substituição
3264,pl,11,plataformas
3265,ap,8,apuração
3266,co,9,contábeis
3267,ta,12,tangibilizar
3268,su,9,sustentar
3269,im,8,impactos
3270,pr,9,presunção
3271,te,6,tempos
3272,fu,6,função
3273,pl,6,planos
3274,in,11,inferências
3275,de,11,dependência
3276,op,12,optimization
3277,op,15,operacionalizar
3278,ní,5,nível
3279,in,8,internet
3280,pr,8,provamos
3281,de,7,decisor
3282,qu,10,quantidade
3283,ar,9,armadilha
3284,er,4,erro
3285,de,8,definido
3286,tr,6,tríade
3287,re,9,reconhece
3288,fi,5,ficha
3289,da,4,data
3290,tc,3,tcc
3291,di,10,diferenças
3292,kp,3,kpi
3293,ca,8,cartório
3294,co,13,controladoria
3295,co,9,construir
3296,bp,2,bp
3297,re,15,relacionamentos
3298,tr,9,tratá-los
3299,im,10,impactante
3300,ex,9,excessivo
3301,or,6,origem
3302,ri,7,riqueza
3303,ad,7,adwords
3304,co,6,comida
3305,pr,10,prospectos
3306,te,9,terceiros
3307,or,10,orientação
3308,ap,12,apresentadas
3309,re,13,retrospective
3310,in,10,integração
3311,in,8,indireto
3312,dr,6,driven
3313,ré,6,réguas
3314,le,6,lexsys
3315,di,6,dilema
3316,ho,4,hora
3317,ad,15,administradoras
3318,ex,12,exponenciais
3319,lo,9,logistics
3320,in,15,influenciadores
3321,me,10,mensuração
3322,re,9,reposição
3323,da,3,dar
3324,re,9,revogação
3325,eq,7,equipes
3326,pe,13,personalidade
3327,po,8,portaria
3328,ge,10,gerenciais
3329,es,7,estadia
3330,pl,7,planeje
3331,in,9,intensivo
3332,mv,3,mvp
3333,mu,18,multidisciplinates
3334,mi,4,mire
3335,en,13,endomarketing
3336,ev,5,evite
3337,ma,9,mapaeando
3338,ic,5,icofr
3339,de,6,defesa
3340,cá,8,cálculos
3341,ár,7,árvores
3342,de,8,demandem
3343,co,14,contabilização
3344,co,9,constante
3345,gr,7,gráfico
3346,mo,8,momentos
3347,fo,5,forma
3348,pr,8,produtos
3349,po,10,posicionar
3350,cl,11,classificar
3351,de,13,desdobramento
3352,in,9,indústria
3353,sq,6,squads
3354,re,9,regulares
3355,mí,6,mínimo
3356,de,10,desenhamos
3357,qu,15,questionamentos
3358,ch,8,chapters
3359,pr,5,pré-s
3360,ad,14,administrativo
3361,or,11,organização
3362,in,9,indicados
3363,cr,7,criando
3364,tr,8,traduzir
3365,so,6,social
3366,au,5,aulas
3367,de,9,devolução
3368,es,7,estados
3369,ne,7,negócio
3370,as,10,associados
3371,tá,6,tático
3372,pr,8,prevenir
3373,pe,10,perseverar
3374,qu,12,quantitativa
3375,ex,10,excelência
3376,de,12,demonstração
3377,in,12,independente
3378,po,10,potenciais
3379,sa,8,salários
3380,ca,5,capaz
3381,ma,13,matéria-prima
3382,fi,11,financeiros
3383,mí,5,mídia
3384,ap,4,após
3385,ti,5,times
3386,es,10,estendendo
3387,sa,7,sazonal
3388,co,9,comprá-lo
3389,aj,6,ajusta
3390,fi,6,fisgar
3391,ru,4,ruim
3392,av,9,avaliados
3393,fi,5,fixos
3394,ex,9,explicado
3395,fu,6,futuro
3396,ab,3,abc
3397,re,9,registros
3398,po,6,pontos
3399,pr,8,primeiro
3400,mã,3,mão
3401,ha,7,hacking
3402,pr,10,preço-alvo
3403,cl,9,clássicos
3404,ga,7,gartner
3405,in,11,incrementar
3406,co,4,cost
3407,an,4,anos
3408,co,11,construindo
3409,pr,10,predictive
3410,co,9,contratar
3411,co,8,contrato
3412,bl,3,blá
3413,cr,9,criativas
3414,oc,9,ocorrendo
3415,ân,7,ângulos
3416,ca,9,categoria
3417,qu,12,qualitativas
3418,ca,6,camada
3419,ma,8,manuseio
3420,in,11,indicadores
3421,lo,5,longe
3422,co,11,competitiva
3423,bu,8,burndown
3424,ki,4,kits
3425,ca,6,campos
3426,pr,13,produtividade
3427,po,6,porter
3428,ba,6,bancos
3429,fo,8,formados
3430,pl,8,plantada
3431,ag,9,agilidade
3432,al,7,alertas
3433,ul,8,ultimato
3434,in,8,incrível
3435,te,5,tempo
3436,en,7,entrega
3437,de,8,derivada
3438,de,9,declarada
3439,pe,2,pe
3440,vc,2,vc
3441,sc,2,sc
3442,pi,3,pis
3443,co,6,cofins
3444,pr,8,produtos
3445,pr,8,produtos
3446,se,8,serviços
3447,pl,4,plus
3448,de,5,delta
3449,wi,3,win
3450,lo,4,loss
3451,li,6,linear
3452,mú,8,múltipla
3453,rp,3,rpa
3454,me,3,mei
3455,cl,8,clientes
3456,se,9,segmentos
3457,mo,7,mocinho
3458,ba,7,bandido
3459,ge,2,ge
3460,mc,8,mckynsey
3461,pr,7,produto
3462,se,7,serviço
3463,ir,2,ir
3464,cs,2,cs
